layer,output_norm,yd_emb_norm
2,24.534292221069336,3.142143487930298
2,24.785573959350586,3.141932487487793
2,24.558971405029297,3.141681432723999
2,24.9722900390625,3.141681432723999
2,24.541187286376953,3.141681432723999
2,24.769855499267578,3.141681432723999
2,24.834274291992188,3.141681671142578
2,24.379541397094727,3.141681432723999
2,24.379541397094727,3.141681432723999
2,24.375818252563477,3.141681432723999
2,24.375818252563477,3.141681432723999
2,24.941085815429688,3.141681432723999
2,24.941085815429688,3.141681432723999
2,24.948436737060547,3.141681432723999
2,24.948436737060547,3.141681432723999
2,24.521596908569336,3.141681432723999
2,24.521596908569336,3.141681432723999
2,25.23114585876465,3.141681432723999
2,24.931970596313477,3.1413846015930176
2,24.46582794189453,3.1410553455352783
2,23.825151443481445,3.140690803527832
2,22.99656867980957,3.1402602195739746
2,22.776382446289062,3.1398634910583496
2,23.714941024780273,3.1395273208618164
2,23.816795349121094,3.1392743587493896
2,23.91026496887207,3.1390280723571777
2,24.860403060913086,3.13877010345459
2,24.652429580688477,3.1385204792022705
2,24.850923538208008,3.138270378112793
2,24.26152992248535,3.138003349304199
2,24.441600799560547,3.137702703475952
2,23.658939361572266,3.137392520904541
2,23.738304138183594,3.137089729309082
2,24.104290008544922,3.1367995738983154
2,24.492382049560547,3.1365041732788086
2,24.321266174316406,3.1361939907073975
2,24.64496421813965,3.1358885765075684
2,24.86052131652832,3.1356279850006104
2,24.135997772216797,3.135345458984375
2,24.17943000793457,3.1350414752960205
2,24.215742111206055,3.134730100631714
2,24.224430084228516,3.1344029903411865
2,23.77118492126465,3.1340572834014893
2,23.64952278137207,3.1336913108825684
2,24.227859497070312,3.1333508491516113
2,24.293468475341797,3.1330034732818604
2,23.861732482910156,3.1326351165771484
2,24.15461540222168,3.1322951316833496
2,23.512544631958008,3.1318840980529785
2,23.475509643554688,3.131452798843384
2,23.096696853637695,3.1310479640960693
2,22.358184814453125,3.1306533813476562
2,22.580825805664062,3.1303231716156006
2,22.949052810668945,3.130016326904297
2,23.653820037841797,3.129765272140503
2,23.449745178222656,3.1294801235198975
2,23.947303771972656,3.1291611194610596
2,23.282442092895508,3.128801107406616
2,23.734201431274414,3.128801107406616
2,23.33435821533203,3.128801107406616
2,23.529850006103516,3.128801107406616
2,23.652647018432617,3.128801107406616
2,23.03639030456543,3.128801107406616
2,23.03639030456543,3.128801107406616
2,23.113079071044922,3.128801107406616
2,23.113079071044922,3.128801107406616
2,23.75848388671875,3.128801107406616
2,23.75848388671875,3.128801107406616
2,23.64059829711914,3.128801107406616
2,23.64059829711914,3.128801107406616
2,23.206758499145508,3.128801107406616
2,23.206758499145508,3.128801107406616
2,23.721099853515625,3.128801107406616
2,23.917566299438477,3.1284358501434326
2,23.088878631591797,3.1280364990234375
2,23.171327590942383,3.1276633739471436
2,23.05062484741211,3.1273353099823
2,22.82590675354004,3.127065420150757
2,22.744796752929688,3.1267685890197754
2,22.66243553161621,3.1265008449554443
2,23.248998641967773,3.126246452331543
2,22.952680587768555,3.1259236335754395
2,22.239532470703125,3.12557053565979
2,23.128602981567383,3.1252291202545166
2,23.17662811279297,3.1248939037323
2,22.487028121948242,3.124558925628662
2,22.418642044067383,3.1241888999938965
2,22.409076690673828,3.1238324642181396
2,22.46973419189453,3.1234779357910156
2,22.866098403930664,3.1232173442840576
2,22.45820426940918,3.122941493988037
2,22.8574161529541,3.1226539611816406
2,22.694595336914062,3.1223020553588867
2,22.300264358520508,3.1219322681427
2,22.637178421020508,3.121570587158203
2,22.317546844482422,3.1212356090545654
2,21.925748825073242,3.120882987976074
2,22.689590454101562,3.120561361312866
2,22.77676773071289,3.1202378273010254
2,22.55613899230957,3.119924783706665
2,22.442779541015625,3.1195433139801025
2,23.261123657226562,3.1191654205322266
