transmission_cluster,obs,base_date,y,d
158,3,2021-08-22,0,0
159,1,2021-08-20,73,5
159,2,2021-08-21,9,4
159,3,2021-08-22,9,3
159,4,2021-08-23,9,2
159,5,2021-08-24,9,1
160,1,2021-08-21,44,6
160,2,2021-08-22,32,5
160,3,2021-08-23,32,4
160,4,2021-08-24,32,3
160,5,2021-08-25,32,2
161,1,2021-08-24,18,4
161,2,2021-08-25,9,3
161,3,2021-08-26,9,2
161,4,2021-08-27,9,1
161,5,2021-08-28,0,0
162,1,2021-08-25,371,16
162,2,2021-08-26,371,15
162,3,2021-08-27,307,14
162,4,2021-08-28,307,13
162,5,2021-08-29,253,12
163,1,2021-08-25,77,15
163,2,2021-08-26,49,14
163,3,2021-08-27,49,13
163,4,2021-08-28,49,12
163,5,2021-08-29,40,11
164,1,2021-08-25,29,3
164,2,2021-08-26,9,2
164,3,2021-08-27,9,1
164,4,2021-08-28,0,0
165,1,2021-08-26,148,8
165,2,2021-08-27,100,7
165,3,2021-08-28,73,6
165,4,2021-08-29,73,5
165,5,2021-08-30,25,4
166,1,2021-08-30,256,10
166,2,2021-08-31,236,9
166,3,2021-09-01,146,8
166,4,2021-09-02,122,7
166,5,2021-09-03,47,6
167,1,2021-08-30,38,14
167,2,2021-08-31,22,13
167,3,2021-09-01,13,12
167,4,2021-09-02,13,11
167,5,2021-09-03,13,10
168,1,2021-08-30,41,6
168,2,2021-08-31,29,5
168,3,2021-09-01,29,4
168,4,2021-09-02,29,3
168,5,2021-09-03,4,2
169,1,2021-08-30,36,7
169,2,2021-08-31,20,6
169,3,2021-09-01,20,5
169,4,2021-09-02,20,4
169,5,2021-09-03,20,3
170,1,2021-08-31,95,10
170,2,2021-09-01,32,9
170,3,2021-09-02,32,8
170,4,2021-09-03,32,7
170,5,2021-09-04,32,6
171,1,2021-08-31,0,0
172,1,2021-08-31,91,10
172,2,2021-09-01,91,9
172,3,2021-09-02,91,8
172,4,2021-09-03,66,7
172,5,2021-09-04,64,6
173,1,2021-09-01,39,10
173,2,2021-09-02,31,9
173,3,2021-09-03,6,8
173,4,2021-09-04,5,7
173,5,2021-09-05,5,6
174,1,2021-09-02,136,14
174,2,2021-09-03,86,13
174,3,2021-09-04,76,12
174,4,2021-09-05,76,11
174,5,2021-09-06,72,10
175,1,2021-09-02,260,18
175,2,2021-09-03,185,17
175,3,2021-09-04,185,16
175,4,2021-09-05,185,15
175,5,2021-09-06,185,14
176,1,2021-09-02,62,18
176,2,2021-09-03,37,17
176,3,2021-09-04,37,16
176,4,2021-09-05,37,15
176,5,2021-09-06,37,14
177,1,2021-09-02,206,9
177,2,2021-09-03,106,8
177,3,2021-09-04,105,7
177,4,2021-09-05,97,6
177,5,2021-09-06,81,5
178,1,2021-09-04,147,20
178,2,2021-09-05,115,19
178,3,2021-09-06,115,18
178,4,2021-09-07,99,17
178,5,2021-09-08,99,16
179,1,2021-09-05,157,14
179,2,2021-09-06,157,13
179,3,2021-09-07,153,12
179,4,2021-09-08,153,11
179,5,2021-09-09,73,10
180,1,2021-09-05,77,10
180,2,2021-09-06,61,9
180,3,2021-09-07,57,8
180,4,2021-09-08,57,7
180,5,2021-09-09,57,6
181,1,2021-09-05,77,8
181,2,2021-09-06,53,7
181,3,2021-09-07,41,6
181,4,2021-09-08,41,5
181,5,2021-09-09,25,4
182,1,2021-09-08,258,10
182,2,2021-09-09,162,9
182,3,2021-09-10,66,8
182,4,2021-09-11,65,7
182,5,2021-09-12,65,6
183,1,2021-09-08,90,20
183,2,2021-09-09,90,19
183,3,2021-09-10,90,18
183,4,2021-09-11,89,17
183,5,2021-09-12,85,16
184,1,2021-09-08,240,19
184,2,2021-09-09,240,18
184,3,2021-09-10,96,17
184,4,2021-09-11,93,16
184,5,2021-09-12,73,15
185,1,2021-09-09,75,6
185,2,2021-09-10,43,5
185,3,2021-09-11,42,4
185,4,2021-09-12,38,3
185,5,2021-09-13,29,2
186,1,2021-09-09,149,8
186,2,2021-09-10,37,7
186,3,2021-09-11,34,6
186,4,2021-09-12,34,5
186,5,2021-09-13,16,4
187,1,2021-09-09,108,16
187,2,2021-09-10,108,15
187,3,2021-09-11,108,14
187,4,2021-09-12,108,13
187,5,2021-09-13,108,12
188,1,2021-09-10,87,14
188,2,2021-09-11,85,13
188,3,2021-09-12,85,12
188,4,2021-09-13,76,11
188,5,2021-09-14,72,10
189,1,2021-09-11,300,14
189,2,2021-09-12,264,13
189,3,2021-09-13,219,12
189,4,2021-09-14,195,11
189,5,2021-09-15,45,10
190,1,2021-09-11,254,7
190,2,2021-09-12,242,6
190,3,2021-09-13,170,5
190,4,2021-09-14,114,4
190,5,2021-09-15,14,3
191,1,2021-09-11,47,3
191,2,2021-09-12,43,2
191,3,2021-09-13,16,1
191,4,2021-09-14,0,0
192,1,2021-09-11,19,9
192,2,2021-09-12,19,8
192,3,2021-09-13,1,7
192,4,2021-09-14,1,6
192,5,2021-09-15,1,5
193,1,2021-09-11,222,18
193,2,2021-09-12,218,17
193,3,2021-09-13,209,16
193,4,2021-09-14,193,15
193,5,2021-09-15,43,14
194,1,2021-09-12,87,6
194,2,2021-09-13,60,5
194,3,2021-09-14,56,4
194,4,2021-09-15,6,3
194,5,2021-09-16,6,2
195,1,2021-09-12,38,3
195,2,2021-09-13,29,2
195,3,2021-09-14,25,1
195,4,2021-09-15,0,0
196,1,2021-09-13,204,13
196,2,2021-09-14,180,12
196,3,2021-09-15,5,11
196,4,2021-09-16,4,10
196,5,2021-09-17,4,9
197,1,2021-09-14,14,9
197,2,2021-09-15,14,8
197,3,2021-09-16,13,7
197,4,2021-09-17,13,6
197,5,2021-09-18,13,5
198,1,2021-09-16,32,10
198,2,2021-09-17,28,9
198,3,2021-09-18,26,8
198,4,2021-09-19,14,7
198,5,2021-09-20,13,6
199,1,2021-09-17,217,17
199,2,2021-09-18,202,16
199,3,2021-09-19,182,15
199,4,2021-09-20,166,14
199,5,2021-09-21,144,13
200,1,2021-09-17,40,22
200,2,2021-09-18,40,21
200,3,2021-09-19,40,20
200,4,2021-09-20,40,19
200,5,2021-09-21,40,18
201,1,2021-09-17,18,4
201,2,2021-09-18,14,3
201,3,2021-09-19,2,2
201,4,2021-09-20,2,1
201,5,2021-09-21,0,0
202,1,2021-09-19,119,20
202,2,2021-09-20,116,19
202,3,2021-09-21,115,18
202,4,2021-09-22,111,17
202,5,2021-09-23,111,16
203,1,2021-09-21,28,3
203,2,2021-09-22,16,2
203,3,2021-09-23,8,1
203,4,2021-09-24,0,0
204,1,2021-09-23,52,11
204,2,2021-09-24,52,10
204,3,2021-09-25,47,9
204,4,2021-09-26,43,8
204,5,2021-09-27,43,7
205,1,2021-09-23,0,0
206,1,2021-09-23,9,23
206,2,2021-09-24,9,22
206,3,2021-09-25,9,21
206,4,2021-09-26,9,20
206,5,2021-09-27,9,19
207,1,2021-09-24,0,0
208,1,2021-09-24,20,11
